domain,category,severity,threat_sources
1947272-coinbase.com,PHISHING,3,brand-imitation
1947295-coinbase.com,PHISHING,3,brand-imitation
1947828-coinbase.com,PHISHING,3,brand-imitation
194822-coinbase.com,PHISHING,3,brand-imitation
194822-crypto.com,PHISHING,3,brand-imitation
1948257-coinbase.com,PHISHING,3,brand-imitation
1948262-coinbase.com,PHISHING,3,brand-imitation
1948272-coinbase.com,PHISHING,3,brand-imitation
194852a-coinbase.com,PHISHING,3,brand-imitation
1948562-coinbase.com,PHISHING,3,brand-imitation
1948722-coinbase.com,PHISHING,3,brand-imitation
194879a-coinbase.com,PHISHING,3,brand-imitation
195276-coinbase.com,PHISHING,3,brand-imitation
1954376coinbase.com,PHISHING,3,brand-imitation
1954822-coinbase.com,PHISHING,3,brand-imitation
1957238-coinbase.com,PHISHING,3,brand-imitation
1957241-coinbase.com,PHISHING,3,brand-imitation
195823-coinbase.com,PHISHING,3,brand-imitation
1958232-coinbase.com,PHISHING,3,brand-imitation
1958292-coinbase.com,PHISHING,3,brand-imitation
1958293-coinbase.com,PHISHING,3,brand-imitation
1958314-coinbase.com,PHISHING,3,brand-imitation
196041-coinbase.com,PHISHING,3,brand-imitation
196892-coinbase.com,PHISHING,3,brand-imitation
197481-coinbase.com,PHISHING,3,brand-imitation
1975472-coinbase.com,PHISHING,3,brand-imitation
1975724-coinbase.com,PHISHING,3,brand-imitation
19764831-coinbase.com,PHISHING,3,brand-imitation
1976838-coinbase.com,PHISHING,3,brand-imitation
197695a-coinbase.com,PHISHING,3,brand-imitation
1978063-coinbase.com,PHISHING,3,brand-imitation
1984742-coinbase.com,PHISHING,3,brand-imitation
1985702-coinbase.com,PHISHING,3,brand-imitation
1985762-coinbase.com,PHISHING,3,brand-imitation
1987320-coinbase.com,PHISHING,3,brand-imitation
1989653-coinbase.com,PHISHING,3,brand-imitation
19985f-coinbase.com,PHISHING,3,brand-imitation
199winlogink.com,PHISHING,3,brand-imitation
19au8-coinbase.com,PHISHING,3,brand-imitation
19dewalogin.com,PHISHING,3,brand-imitation
19nlogin.com,PHISHING,3,brand-imitation
1atom-official.casino,PHISHING,3,brand-imitation
1authentication-securebmo.info,PHISHING,3,brand-imitation
1bitcoin-exchange.com,PHISHING,3,brand-imitation
1bitcoin-exchange.info,PHISHING,3,brand-imitation
1bitcoin.club,PHISHING,3,brand-imitation
1bitcoin.contact,PHISHING,3,brand-imitation
1bitcoin.news,PHISHING,3,brand-imitation
1bitcoin.org,PHISHING,3,brand-imitation
1bm0my0nline-verifynow.info,PHISHING,3,brand-imitation
1bmo-clientbankinglogin.com,PHISHING,3,brand-imitation
1bmo-clientsecureverify.info,PHISHING,3,brand-imitation
1bmo-myaccount.info,PHISHING,3,brand-imitation
1bmobank-infoverify.com,PHISHING,3,brand-imitation
1bmosecure.info,PHISHING,3,brand-imitation
1bmoverify-secureonline.com,PHISHING,3,brand-imitation
1bmwlogin.com,PHISHING,3,brand-imitation
1bwmlogin.com,PHISHING,3,brand-imitation
1centtoken.com,PHISHING,3,brand-imitation
1client-verifybm0.info,PHISHING,3,brand-imitation
1client-verifymybm0.info,PHISHING,3,brand-imitation
1cryptodarkmarket.com,PHISHING,3,brand-imitation
1cryptoleo.com,PHISHING,3,brand-imitation
1etrust.com,PHISHING,3,brand-imitation
1filevault.com,PHISHING,3,brand-imitation
1fuel-wallet.com,PHISHING,3,brand-imitation
1gocasinoofficial.com,PHISHING,3,brand-imitation
1gomlogin.com,PHISHING,3,brand-imitation
1gomloginbet.com,PHISHING,3,brand-imitation
1iksbet-nft0.cfd,PHISHING,3,brand-imitation
1ilogin.com,PHISHING,3,brand-imitation
1inch-claims.com,PHISHING,3,brand-imitation
1inchclaim.app,PHISHING,3,brand-imitation
1inchclaim.com,PHISHING,3,brand-imitation
1inchclaims.xyz,PHISHING,3,brand-imitation
1int-secure.click,PHISHING,3,brand-imitation
1inter-secure.click,PHISHING,3,brand-imitation
1milliontoken.org,PHISHING,3,brand-imitation
1movies-official.com,PHISHING,3,brand-imitation
1msconnectserver.com,PHISHING,3,brand-imitation
1msserverconnect.com,PHISHING,3,brand-imitation
1ntu1t01secure01auth.com,PHISHING,3,brand-imitation
1omniroyal-secure-login.com,PHISHING,3,brand-imitation
1on1secure.com,PHISHING,3,brand-imitation
1pdfsecureviewer.sbs,PHISHING,3,brand-imitation
1royalrbc-verify.info,PHISHING,3,brand-imitation
1sb472k745login4127.cfd,PHISHING,3,brand-imitation
1sb472k745login4127.click,PHISHING,3,brand-imitation
1sb472k745login4127.icu,PHISHING,3,brand-imitation
1sb472k745login4127.sbs,PHISHING,3,brand-imitation
1scotia-login-verification.com,PHISHING,3,brand-imitation
1scotia-verification-login.com,PHISHING,3,brand-imitation
1scotiaonline-verify.info,PHISHING,3,brand-imitation
1scotiasecurity-verify.info,PHISHING,3,brand-imitation
1securebmologin.info,PHISHING,3,brand-imitation
1secured.tax,PHISHING,3,brand-imitation
1securehost.com,PHISHING,3,brand-imitation
1secureverif-bmo.info,PHISHING,3,brand-imitation
1secureverification-bmo.info,PHISHING,3,brand-imitation
1siteofficial12.xyz,PHISHING,3,brand-imitation
1siteofficial13.xyz,PHISHING,3,brand-imitation
1siteofficial14.xyz,PHISHING,3,brand-imitation
1siteofficial16.xyz,PHISHING,3,brand-imitation
1siteofficial17.xyz,PHISHING,3,brand-imitation
1siteofficial18.xyz,PHISHING,3,brand-imitation
1siteofficial19.xyz,PHISHING,3,brand-imitation
1siteofficial20.xyz,PHISHING,3,brand-imitation
1siteofficial21.xyz,PHISHING,3,brand-imitation
1siteofficial24.xyz,PHISHING,3,brand-imitation
1siteofficial25.xyz,PHISHING,3,brand-imitation
1siteofficial27.fun,PHISHING,3,brand-imitation
1st4securedloan.com,PHISHING,3,brand-imitation
1st4securedloans.com,PHISHING,3,brand-imitation
1st4unsecuredloan.com,PHISHING,3,brand-imitation
1st4unsecuredloans.com,PHISHING,3,brand-imitation
1stconnectmobility.com,PHISHING,3,brand-imitation
1stnewsupdate.com,PHISHING,3,brand-imitation
1ststrustbank.com,PHISHING,3,brand-imitation
1sttrustbank247.online,PHISHING,3,brand-imitation
1telus1myaccount-deposit0.info,PHISHING,3,brand-imitation
1telus1myaccount-refund0.info,PHISHING,3,brand-imitation
1token.one,PHISHING,3,brand-imitation
1trustbank.com,PHISHING,3,brand-imitation
1trustnet.online,PHISHING,3,brand-imitation
1verifsecurenotif-bmo.info,PHISHING,3,brand-imitation
1verifylogin-bmo.info,PHISHING,3,brand-imitation
1w-token.com,PHISHING,3,brand-imitation
1win-aaa-official10.xyz,PHISHING,3,brand-imitation
1win-aaa-official11.xyz,PHISHING,3,brand-imitation
1win-aaa-official12.xyz,PHISHING,3,brand-imitation
1win-aaa-official13.xyz,PHISHING,3,brand-imitation
1win-aaa-official16.xyz,PHISHING,3,brand-imitation
1win-bbb-official3.xyz,PHISHING,3,brand-imitation
1win-canada-official.com,PHISHING,3,brand-imitation
1win-casino-official.com,PHISHING,3,brand-imitation
1win-ccc-official11.xyz,PHISHING,3,brand-imitation
1win-ccc-official12.xyz,PHISHING,3,brand-imitation
1win-ccc-official14.xyz,PHISHING,3,brand-imitation
1win-ccc-official16.xyz,PHISHING,3,brand-imitation
1win-ccc-official17.xyz,PHISHING,3,brand-imitation
1win-ccc-official18.xyz,PHISHING,3,brand-imitation
1win-ccc-official4.xyz,PHISHING,3,brand-imitation
1win-crypto.buzz,PHISHING,3,brand-imitation
1win-ddd-official12.xyz,PHISHING,3,brand-imitation
1win-ddd-official13.xyz,PHISHING,3,brand-imitation
1win-ddd-official14.xyz,PHISHING,3,brand-imitation
1win-ddd-official15.xyz,PHISHING,3,brand-imitation
1win-ddd-official7.xyz,PHISHING,3,brand-imitation
1win-ddd-official8.xyz,PHISHING,3,brand-imitation
1win-ddd-official9.xyz,PHISHING,3,brand-imitation
1win-eee-official20.xyz,PHISHING,3,brand-imitation
1win-eee-official6.xyz,PHISHING,3,brand-imitation
1win-eee-official9.xyz,PHISHING,3,brand-imitation
1win-fff-official11.xyz,PHISHING,3,brand-imitation
1win-fff-official12.xyz,PHISHING,3,brand-imitation
1win-fff-official13.xyz,PHISHING,3,brand-imitation
1win-fff-official14.xyz,PHISHING,3,brand-imitation
1win-fff-official15.xyz,PHISHING,3,brand-imitation
1win-fff-official17.xyz,PHISHING,3,brand-imitation
1win-fff-official4.xyz,PHISHING,3,brand-imitation
1win-fff-official7.xyz,PHISHING,3,brand-imitation
1win-ggnft.buzz,PHISHING,3,brand-imitation
1win-iii-official11.xyz,PHISHING,3,brand-imitation
1win-iii-official13.fun,PHISHING,3,brand-imitation
1win-iii-official6.xyz,PHISHING,3,brand-imitation
1win-iii-official7.xyz,PHISHING,3,brand-imitation
1win-iii-official8.xyz,PHISHING,3,brand-imitation
